date,close,volume,open,high,low,10Avg,30Avg,10NeiAvg
2017-06-21,376.4,4916770,374.35,376.99,368.02,364,338.939,374.5666667
2017-06-20,372.24,7419110,376.67,378.88,369.73,370,339.916,376.5988889
2017-06-19,369.8,6433434,375,376.7,367.8,372,341.461,376.4277778
2017-06-16,371.4,6347450,377.975,378.01,370.1,373,343.1353333,373.7122222
2017-06-15,375.34,10412650,372.5,375.46,366.49,374,344.733,370.9022222
2017-06-14,380.66,12778480,381.085,384.25,376.31,375,346.0753333,370.1911111
2017-06-13,375.95,11773370,367.62,376,366.61,377,347.6153333,368.7922222
2017-06-12,359.01,10507860,357.99,364.5,350.62,376,348.6853333,366.9088889
2017-06-09,357.32,17250060,374.42,376.87,354.8,374,349.3323333,364.2333333
2017-06-08,370,9028677,363.75,371.9,360.22,371,349.8256667,360.29
2017-06-07,359.65,9348692,356.34,360.5,355.14,370,351.2123333,355.8133333
2017-06-06,352.85,11031920,344.7,359.4929,339.97,369,352.2033333,351.9311111
2017-06-05,347.32,6769174,338.5,348.44,334.21,367,353.123,349.2744444
2017-06-02,339.85,5583952,339.77,342.88,335.93,364,353.759,345.6988889
2017-06-01,340.37,7601764,344,344.88,337.29,360,354.435,339.7911111
2017-05-31,341.01,9937556,337.69,342.89,335.16,356,354.8546667,334.2988889
2017-05-30,335.1,7771536,326,336.28,325.76,352,355.4413333,328.8555556
2017-05-26,325.14,7793009,317.28,325.49,316.31,349,355.6273333,324.7477778
2017-05-25,316.83,5000432,311.02,316.97,307.81,346,355.558,321.5233333
2017-05-24,310.22,5035192,306.51,311,305.4,340,355.584,318.4888889
2017-05-23,303.86,4314267,310.46,310.73,303.48,334,355.484,314.6111111
2017-05-22,310.35,4324305,312.8,314.37,306.8,329,355.3183333,312.6011111
2017-05-19,310.83,4654580,315.5,316.5,310.2,325,354.7603333,311.5722222
2017-05-18,313.06,5609153,307,313.94,305.31,322,353.3673333,312.4588889
2017-05-17,306.11,6695657,314.39,314.63,305.5,318,351.749,313.89
2017-05-16,317.01,4141066,317.59,320.06,315.14,315,349.9276667,316.2633333
2017-05-15,315.88,7606854,318.38,320.2,312.53,313,348.12,317.4755556
2017-05-12,324.81,4118613,325.48,327,321.53,312,346.5703333,317.0711111
2017-05-11,323.1,4747172,323.4,326,319.6,312,344.8143333,316.5477778
2017-05-10,325.22,5734524,321.56,325.5,318.12,314,342.8026667,315.3644444
2017-05-09,321.26,9663374,309.38,321.99,309.1,316,340.8896667,314.6988889
2017-05-08,307.19,7002907,310.9,313.79,305.82,317,339.0516667,315.0333333
2017-05-05,308.35,8117449,298,308.55,296.8,317,336.8833333,314.8133333
2017-05-04,295.46,14135990,307.435,307.77,290.7601,317,334.835,313.81
2017-05-03,311.02,6879259,317.67,321.53,310.45,315,332.3036667,311.9666667
2017-05-02,318.89,5316551,324,327.6599,316.5601,315,330.1596667,310.7344444
2017-05-01,322.83,8819888,314.88,327.25,314.81,315,328.1006667,311.4677778
2017-04-28,314.07,4496659,309.83,314.8,308,315,326.33,311.4322222
2017-04-27,308.63,3462663,311.69,313.09,307.5,314,324.832,312.5588889
2017-04-26,310.17,4683131,312.37,314.5,309,312,323.209,311.6133333
2017-04-25,313.79,6734162,308,313.98,305.86,311,321.2146667,310.1277778
2017-04-24,308.03,5077771,309.22,310.55,306.0215,311,319.686,307.6188889
2017-04-21,305.6,4501958,302,306.4,300.42,311,318.192,306.2155556
2017-04-20,302.51,6145961,306.51,309.15,300.23,313,316.8013333,305.7011111
2017-04-19,305.52,3891145,302.46,306.62,302.11,312,315.5566667,304.22
2017-04-18,300.25,3034225,299.7,300.8399,297.9,310,314.395,303.6555556
2017-04-17,301.44,4128067,302.7,304,298.68,308,313.0363333,304.14
2017-04-13,304,9275682,296.7,307.39,295.3,306,311.9143333,303.8
2017-04-12,296.84,6043648,306.34,308.4481,296.32,306,311.2096667,303.3766667
2017-04-11,308.71,5718053,313.38,313.47,305.5,304,310.5433333,302.2077778
2017-04-10,312.39,7653623,309.15,313.7299,308.71,304,310.493,302.5911111
2017-04-07,302.54,4566632,297.5,302.69,297.15,304,310.7773333,302.2666667
2017-04-06,298.7,5517731,296.88,301.94,294.1,304,310.517,299.4111111
2017-04-05,295,7858565,302.04,304.88,294.2,303,310.1126667,297.3088889
2017-04-04,303.7,10108230,296.89,304.81,294.53,302,309.5106667,293.8277778
2017-04-03,298.52,13864850,286.9,299,284.58,303,309.4303333,289.9455556
2017-03-31,278.3,3293698,278.73,279.68,276.3197,302,308.814,286.3544444
2017-03-30,277.92,4141437,278.04,282,277.21,299,307.5613333,282.4055556
2017-03-29,277.38,3672526,278.34,279.6,275.54,297,305.9983333,277.9366667
2017-03-28,277.45,7978665,277.02,280.68,275,294,304.4743333,272.5266667
2017-03-27,270.22,6221361,260.6,270.57,259.75,290,302.882,267.2111111
2017-03-24,263.16,5637668,255.7,263.89,255.01,286,301.1806667,265.3911111
2017-03-23,254.78,3309844,255.39,257.672,253.3,282,299.713,263.5666667
2017-03-22,255.01,4056735,251.56,255.07,250.51,278,297.9273333,261.8633333
2017-03-21,250.68,6901555,262.83,264.8,250.24,273,296.579,259.45
2017-03-20,261.92,3601616,260.6,264.55,258.821,267,294.5676667,258.0922222
2017-03-17,261.5,6491018,264,265.33,261.2,265,292.6686667,256.2044444
2017-03-16,262.05,7127180,262.4,265.75,259.06,264,290.6243333,254.9722222
2017-03-15,255.73,5233365,257,261,254.27,262,288.8903333,253.8488889
2017-03-14,258,7581719,246.11,258.12,246.02,259,287.127,253.4255556
2017-03-13,246.17,3011280,244.82,246.85,242.781,258,285.388,251.9444444
2017-03-10,243.69,3062785,246.21,246.5,243,256,283.134,250.8011111
2017-03-09,244.9,3876494,247.63,248.66,243,255,280.9893333,249.6366667
2017-03-08,246.87,3726746,247,250.07,245.32,254,278.966,249.0533333
2017-03-07,248.59,3452587,251.92,253.89,248.32,253,277.1113333,248.1666667
2017-03-06,251.21,3353601,247.91,251.7,247.51,252,275.2136667,248.5911111
2017-03-03,251.57,2925481,250.74,251.9,249,251,273.579,248.8733333
2017-03-02,250.48,3345751,249.71,253.28,248.27,250,271.9166667,250.2177778
2017-03-01,250.02,4804963,254.18,254.85,249.11,249,270.1326667,251.2311111
2017-02-28,249.99,6073890,244.19,251,243.9,248,268.572,254
2017-02-27,246.23,11450160,248.17,248.36,242.01,249,266.6146667,256.9088889
2017-02-24,257,8166869,252.66,258.25,250.2,249,264.4093333,259.2044444
2017-02-23,255.99,14877090,264,264.66,255.56,250,262.8913333,261.2566667
2017-02-22,273.51,8537811,280.31,283.45,272.6,251,261.4676667,264.5611111
2017-02-21,277.39,5647575,275.45,281.4,274.01,254,260.7513333,268.0044444
2017-02-17,272.23,6251469,265.8,272.89,264.15,257,259.8743333,271.8233333
2017-02-16,268.95,7063860,277.6,280,268.5,259,258.998,273.1822222
2017-02-15,279.76,4943879,280,282.24,276.44,261,258.6863333,274.65
2017-02-14,280.98,7341450,279.03,287.39,278.61,265,258.7476667,273.38
2017-02-13,280.6,7023072,270.74,280.7899,270.51,268,258.8676667,271.1677778
2017-02-10,269.23,3618336,269.79,270.95,266.11,272,258.9726667,269.5611111
2017-02-09,269.2,7812600,266.25,271.18,266.15,273,258.9396667,267.6033333
2017-02-08,262.08,3912428,257.35,263.36,256.2,275,259.141,264.4688889
2017-02-07,257.48,4244063,258.19,260,256.42,273,259.3843333,260.9422222
2017-02-06,257.77,3557600,251,257.82,250.63,271,259.4666667,257.7566667
2017-02-03,251.33,2185230,251.91,252.179,249.68,270,259.703,255.69
2017-02-02,251.55,2498799,248.34,252.42,247.71,268,259.35,253.8844444
2017-02-01,249.24,3953105,253.05,253.2,249.05,264,259.0183333,252.8211111
2017-01-31,251.93,4112013,249.24,255.89,247.7,261,258.5913333,252.4866667
2017-01-30,250.63,3798638,252.53,255.2899,247.1,258,258.4646667,252.1355556
2017-01-27,252.95,3161774,251.38,253,248.52,256,258.219,251.8677778
2017-01-26,252.51,3143717,254.29,255.74,250.75,254,258.445,251.11
2017-01-25,254.47,5145301,257.31,258.46,251.8,253,258.739,250.5011111
2017-01-24,254.61,4958144,250,254.8,249.65,252,259.058,248.9933333
2017-01-23,248.92,6262097,245.85,250.8899,245.5,252,259.316,247.3211111
2017-01-20,244.73,4199720,245.46,246,243.01,252,259.327,245.6322222
2017-01-19,243.76,7717244,247.25,248.68,240.75,251,259.111,243.0855556
2017-01-18,238.36,3767272,236.65,239.71,235.58,251,258.8506667,240.3366667
2017-01-17,235.58,4614731,236.7,239.96,234.37,249,258.4466667,237.5877778
2017-01-13,237.75,6085610,230,237.85,229.59,247,257.9653333,235.6277778
2017-01-12,229.59,3787547,229.06,230.7,225.58,246,257.5573333,233.8811111
2017-01-11,229.73,3649910,229.07,229.98,226.68,243,257.0026667,231.9911111
2017-01-10,229.87,3658981,232,232,226.89,240,256.0936667,230.7277778
2017-01-09,231.28,3972716,228.97,231.92,228,238,255.223,228.6622222
2017-01-06,229.01,5524153,226.93,230.31,225.45,236,253.8153333,225.9888889
2017-01-05,226.75,5908927,226.42,227.48,221.95,234,252.2026667,224.3322222
2017-01-04,226.99,11204560,214.75,228,214.31,232,250.6866667,223.2222222
2017-01-03,216.99,5901494,214.86,220.33,210.96,231,249.288,222.0733333
2016-12-30,213.69,4641288,216.3,217.5,211.68,229,247.1956667,220.08
2016-12-29,214.68,4043086,218.56,219.2,214.1225,226,244.9526667,217.7955556
2016-12-28,219.74,3778544,221.53,223.8,217.2,224,242.7553333,215.6788889
2016-12-27,219.53,5913335,214.88,222.25,214.42,223,241.1056667,213.6566667
2016-12-23,213.34,4668263,208,213.45,207.71,222,239.45,212.0722222
2016-12-22,208.45,3108427,208.22,209.99,206.5,220,237.8253333,210.8277778
2016-12-21,207.7,5206143,208.45,212.23,207.41,218,236.191,208.9277778
2016-12-20,208.79,4684269,203.05,209,202.5,216,234.522,206.5888889
2016-12-19,202.73,3486937,202.49,204.45,199.84,214,233.104,204.2133333
